Country	countryCode	stateProvince	decimalLatitude	decimalLongitude	genus	specificEpithet
Brazil	BR	Sao_Paulo	-23.8667	-46.4667	Hypsiboas	crepitans
Brazil	BR	Sao_Paulo	-23.783333	-46.316667	Hypsiboas	crepitans
Brazil	BR	Sao_Paulo	-23.53333	-45.85	Hypsiboas	crepitans
Brazil	BR	Sao_Paulo	-23.53333	-45.85	Hypsiboas	crepitans
Brazil	BR	Sao_Paulo	-23.53333	-45.85	Hypsiboas	crepitans
Brazil	BR	Rio_de_Janeiro	-22.66667	-43.16667	Hypsiboas	crepitans
Brazil	BR	Rio_de_Janeiro	-22.66667	-43.16667	Hypsiboas	crepitans
Brazil	BR	Rio_de_Janeiro	-22.41667	-43.56667	Hypsiboas	crepitans
Brazil	BR	NA	-18.295	-53.369	Hypsiboas	crepitans
Brazil	BR	Minas_Gerais	-17.28333	-42.75	Hypsiboas	crepitans
Brazil	BR	Distrito_Federal	-15.7833	-47.9167	Hypsiboas	crepitans
Brazil	BR	Minas_Gerais	-15.3333	-44.3	Hypsiboas	crepitans
Brazil	BR	Bahia	-13.5333	-39.9667	Hypsiboas	crepitans
Brazil	BR	Bahia	-13.4333	-40.45	Hypsiboas	crepitans
Brazil	BR	Bahia	-13.4333	-40.45	Hypsiboas	crepitans
Brazil	BR	Goias	-12.9008	-46.7658	Hypsiboas	crepitans
Brazil	BR	Bahia	-12.60842	-39.16176	Hypsiboas	crepitans
Brazil	BR	Bahia	-12.60842	-39.16176	Hypsiboas	crepitans
Brazil	BR	Bahia	-12.60842	-39.16176	Hypsiboas	crepitans
Brazil	BR	Bahia	-12.60842	-39.16176	Hypsiboas	crepitans
Brazil	BR	Bahia	-12.60842	-39.16176	Hypsiboas	crepitans
Brazil	BR	Pernambuco	-8.48333	-35.73333	Hypsiboas	crepitans
Brazil	BR	Pernambuco	-8.34727	-36.0309	Hypsiboas	crepitans
Brazil	BR	Pernambuco	-8.34727	-36.0309	Hypsiboas	crepitans
Brazil	BR	Pernambuco	-8.34727	-36.0309	Hypsiboas	crepitans
Brazil	BR	Pernambuco	-8.34727	-36.0309	Hypsiboas	crepitans
Brazil	BR	Pernambuco	-8.34727	-36.0309	Hypsiboas	crepitans
Brazil	BR	Pernambuco	-8.34727	-36.0309	Hypsiboas	crepitans
Brazil	BR	Pernambuco	-8.34727	-36.0309	Hypsiboas	crepitans
Brazil	BR	Pernambuco	-8.34727	-36.0309	Hypsiboas	crepitans
Brazil	BR	Pernambuco	-8.34727	-36.0309	Hypsiboas	crepitans
Brazil	BR	Pernambuco	-8.34727	-36.0309	Hypsiboas	crepitans
Brazil	BR	Pernambuco	-8.34727	-36.0309	Hypsiboas	crepitans
Brazil	BR	Pernambuco	-8.34727	-36.0309	Hypsiboas	crepitans
Brazil	BR	Pernambuco	-8.34727	-36.0309	Hypsiboas	crepitans
Brazil	BR	Pernambuco	-8.28333	-35.9667	Hypsiboas	crepitans
Brazil	BR	Pernambuco	-8.28333	-35.9667	Hypsiboas	crepitans
Brazil	BR	Paraiba	-7.21667	-35.8833	Hypsiboas	crepitans
Brazil	BR	Paraiba	-6.851344	-35.492281	Hypsiboas	crepitans
Brazil	BR	Roraima	1.55	-61.21278	Hypsiboas	crepitans
Brazil	BR	Roraima	1.55	-61.2038	Hypsiboas	crepitans
Brazil	BR	Roraima	1.55	-61.18582	Hypsiboas	crepitans
Brazil	BR	Roraima	1.55	-61.18582	Hypsiboas	crepitans
Brazil	BR	Roraima	1.55	-61.2038	Hypsiboas	crepitans
Brazil	BR	Roraima	1.55	-61.2038	Hypsiboas	crepitans
Brazil	BR	Roraima	1.55	-61.2038	Hypsiboas	crepitans
Brazil	BR	Roraima	1.55	-61.21278	Hypsiboas	crepitans
Brazil	BR	Roraima	2.42	-60.92	Hypsiboas	crepitans
Brazil	BR	Roraima	2.42	-60.92	Hypsiboas	crepitans
Brazil	BR	Roraima	2.42	-60.92	Hypsiboas	crepitans
Brazil	BR	Roraima	2.42	-60.92	Hypsiboas	crepitans
Brazil	BR	Roraima	2.42	-60.92	Hypsiboas	crepitans
Brazil	BR	Roraima	2.42	-60.92	Hypsiboas	crepitans
Brazil	BR	Roraima	2.42	-60.92	Hypsiboas	crepitans
Brazil	BR	Roraima	2.42	-60.92	Hypsiboas	crepitans
Brazil	BR	Roraima	2.42	-60.92	Hypsiboas	crepitans
Brazil	BR	Roraima	2.42	-60.92	Hypsiboas	crepitans
Brazil	BR	Roraima	2.42	-60.92	Hypsiboas	crepitans
Brazil	BR	Roraima	2.42	-60.92	Hypsiboas	crepitans
Brazil	BR	Roraima	2.42	-60.92	Hypsiboas	crepitans
Brazil	BR	Roraima	2.42	-60.92	Hypsiboas	crepitans
